,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
5326,281225314,378487355.0,221522567.0,170578017.0,130023884.0,7.0359,7.1895,7.1278,7.2728,7.1846,7.3034,1
5327,378487355,221522567.0,170578017.0,130023884.0,176447614.0,7.1895,7.1278,7.2728,7.1846,7.3034,7.0958,0
5328,221522567,170578017.0,130023884.0,176447614.0,114915650.0,7.1278,7.2728,7.1846,7.3034,7.0958,6.9755,0
5329,170578017,130023884.0,176447614.0,114915650.0,214728236.0,7.2728,7.1846,7.3034,7.0958,6.9755,7.3752,1
5330,130023884,176447614.0,114915650.0,214728236.0,263084340.0,7.1846,7.3034,7.0958,6.9755,7.3752,7.3636,0
5331,176447614,114915650.0,214728236.0,263084340.0,209483745.0,7.3034,7.0958,6.9755,7.3752,7.3636,7.6773,1
5332,114915650,214728236.0,263084340.0,209483745.0,240592728.0,7.0958,6.9755,7.3752,7.3636,7.6773,7.9207,1
5333,214728236,263084340.0,209483745.0,240592728.0,246540209.0,6.9755,7.3752,7.3636,7.6773,7.9207,7.831,0
5334,263084340,209483745.0,240592728.0,246540209.0,244879684.0,7.3752,7.3636,7.6773,7.9207,7.831,7.7132,0
5335,209483745,240592728.0,246540209.0,244879684.0,177810390.0,7.3636,7.6773,7.9207,7.831,7.7132,7.6709,0
5336,240592728,246540209.0,244879684.0,177810390.0,132038217.0,7.6773,7.9207,7.831,7.7132,7.6709,7.6977,1
5337,246540209,244879684.0,177810390.0,132038217.0,148455396.0,7.9207,7.831,7.7132,7.6709,7.6977,7.8347,1
5338,244879684,177810390.0,132038217.0,148455396.0,186246267.0,7.831,7.7132,7.6709,7.6977,7.8347,7.8808,1
5339,177810390,132038217.0,148455396.0,186246267.0,118545663.0,7.7132,7.6709,7.6977,7.8347,7.8808,7.8695,0
5340,132038217,148455396.0,186246267.0,118545663.0,103128186.0,7.6709,7.6977,7.8347,7.8808,7.8695,7.9757,1
5341,148455396,186246267.0,118545663.0,103128186.0,150758829.0,7.6977,7.8347,7.8808,7.8695,7.9757,8.3176,1
