Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
19646754,32428079.0,28052056.0,25721955.0,36013849.0,1.9057,1.9079,1.8813,1.9132,1.8646,1.8966,1
32428079,28052056.0,25721955.0,36013849.0,51943633.0,1.9079,1.8813,1.9132,1.8646,1.8966,1.9773,1
28052056,25721955.0,36013849.0,51943633.0,78477691.0,1.8813,1.9132,1.8646,1.8966,1.9773,1.9532,0
25721955,36013849.0,51943633.0,78477691.0,75894571.0,1.9132,1.8646,1.8966,1.9773,1.9532,1.9926,1
36013849,51943633.0,78477691.0,75894571.0,89503611.0,1.8646,1.8966,1.9773,1.9532,1.9926,2.0528,1
51943633,78477691.0,75894571.0,89503611.0,76338104.0,1.8966,1.9773,1.9532,1.9926,2.0528,1.9696,0
78477691,75894571.0,89503611.0,76338104.0,96537699.0,1.9773,1.9532,1.9926,2.0528,1.9696,2.0337,1
75894571,89503611.0,76338104.0,96537699.0,55676218.0,1.9532,1.9926,2.0528,1.9696,2.0337,2.081,1
89503611,76338104.0,96537699.0,55676218.0,102575418.0,1.9926,2.0528,1.9696,2.0337,2.081,1.9286,0
76338104,96537699.0,55676218.0,102575418.0,251728311.0,2.0528,1.9696,2.0337,2.081,1.9286,1.9057,0
96537699,55676218.0,102575418.0,251728311.0,93045647.0,1.9696,2.0337,2.081,1.9286,1.9057,1.9132,1
55676218,102575418.0,251728311.0,93045647.0,76425552.0,2.0337,2.081,1.9286,1.9057,1.9132,1.9209,1
102575418,251728311.0,93045647.0,76425552.0,44269230.0,2.081,1.9286,1.9057,1.9132,1.9209,1.9209,0
251728311,93045647.0,76425552.0,44269230.0,51431394.0,1.9286,1.9057,1.9132,1.9209,1.9209,1.9057,0
93045647,76425552.0,44269230.0,51431394.0,40980199.0,1.9057,1.9132,1.9209,1.9209,1.9057,1.9209,1
76425552,44269230.0,51431394.0,40980199.0,56410219.0,1.9132,1.9209,1.9209,1.9057,1.9209,1.9452,1
44269230,51431394.0,40980199.0,56410219.0,79655247.0,1.9209,1.9209,1.9057,1.9209,1.9452,1.9286,0
51431394,40980199.0,56410219.0,79655247.0,63200715.0,1.9209,1.9057,1.9209,1.9452,1.9286,1.9169,0
40980199,56410219.0,79655247.0,63200715.0,51325190.0,1.9057,1.9209,1.9452,1.9286,1.9169,1.9057,0
56410219,79655247.0,63200715.0,51325190.0,74210991.0,1.9209,1.9452,1.9286,1.9169,1.9057,1.9606,1
79655247,63200715.0,51325190.0,74210991.0,67086317.0,1.9452,1.9286,1.9169,1.9057,1.9606,1.9286,0
63200715,51325190.0,74210991.0,67086317.0,50850425.0,1.9286,1.9169,1.9057,1.9606,1.9286,1.9209,0
51325190,74210991.0,67086317.0,50850425.0,73676881.0,1.9169,1.9057,1.9606,1.9286,1.9209,1.9057,0
74210991,67086317.0,50850425.0,73676881.0,58050064.0,1.9057,1.9606,1.9286,1.9209,1.9057,1.8326,0
67086317,50850425.0,73676881.0,58050064.0,102522312.0,1.9606,1.9286,1.9209,1.9057,1.8326,1.8085,0
50850425,73676881.0,58050064.0,102522312.0,78387113.0,1.9286,1.9209,1.9057,1.8326,1.8085,1.821,1
73676881,58050064.0,102522312.0,78387113.0,66558457.0,1.9209,1.9057,1.8326,1.8085,1.821,1.7853,0
58050064,102522312.0,78387113.0,66558457.0,74820081.0,1.9057,1.8326,1.8085,1.821,1.7853,1.7649,0
102522312,78387113.0,66558457.0,74820081.0,46927309.0,1.8326,1.8085,1.821,1.7853,1.7649,1.7249,0
78387113,66558457.0,74820081.0,46927309.0,76803499.0,1.8085,1.821,1.7853,1.7649,1.7249,1.6967,0
66558457,74820081.0,46927309.0,76803499.0,113710659.0,1.821,1.7853,1.7649,1.7249,1.6967,1.7249,1
74820081,46927309.0,76803499.0,113710659.0,69603863.0,1.7853,1.7649,1.7249,1.6967,1.7249,1.7611,1
46927309,76803499.0,113710659.0,69603863.0,78121616.0,1.7649,1.7249,1.6967,1.7249,1.7611,1.7611,0
76803499,113710659.0,69603863.0,78121616.0,49585402.0,1.7249,1.6967,1.7249,1.7611,1.7611,1.7649,1
113710659,69603863.0,78121616.0,49585402.0,27542935.0,1.6967,1.7249,1.7611,1.7611,1.7649,1.7366,0
69603863,78121616.0,49585402.0,27542935.0,54123835.0,1.7249,1.7611,1.7611,1.7649,1.7366,1.7159,0
78121616,49585402.0,27542935.0,54123835.0,79917619.0,1.7611,1.7611,1.7649,1.7366,1.7159,1.7531,1
49585402,27542935.0,54123835.0,79917619.0,46636830.0,1.7611,1.7649,1.7366,1.7159,1.7531,1.6967,0
27542935,54123835.0,79917619.0,46636830.0,82238362.0,1.7649,1.7366,1.7159,1.7531,1.6967,1.7044,1
54123835,79917619.0,46636830.0,82238362.0,33271417.0,1.7366,1.7159,1.7531,1.6967,1.7044,1.7366,1
79917619,46636830.0,82238362.0,33271417.0,41189467.0,1.7159,1.7531,1.6967,1.7044,1.7366,1.7479,1
46636830,82238362.0,33271417.0,41189467.0,56528924.0,1.7531,1.6967,1.7044,1.7366,1.7479,1.7611,1
82238362,33271417.0,41189467.0,56528924.0,52524618.0,1.6967,1.7044,1.7366,1.7479,1.7611,1.7611,0
33271417,41189467.0,56528924.0,52524618.0,31128698.0,1.7044,1.7366,1.7479,1.7611,1.7611,1.8085,1
41189467,56528924.0,52524618.0,31128698.0,49363639.0,1.7366,1.7479,1.7611,1.7611,1.8085,1.817,1
56528924,52524618.0,31128698.0,49363639.0,43179126.0,1.7479,1.7611,1.7611,1.8085,1.817,1.817,0
52524618,31128698.0,49363639.0,43179126.0,36950886.0,1.7611,1.7611,1.8085,1.817,1.817,1.821,1
31128698,49363639.0,43179126.0,36950886.0,40330499.0,1.7611,1.8085,1.817,1.817,1.821,1.8005,0
49363639,43179126.0,36950886.0,40330499.0,35332916.0,1.8085,1.817,1.817,1.821,1.8005,1.825,1
43179126,36950886.0,40330499.0,35332916.0,37937919.0,1.817,1.817,1.821,1.8005,1.825,1.8085,0
