,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
65,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,42.40625,40.9375,39.3875,39.55,39.125,39.23125,39.4,39.55625,42.43125,43.03125,45.525,1
66,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,40.9375,39.3875,39.55,39.125,39.23125,39.4,39.55625,42.43125,43.03125,45.525,46.85625,1
67,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,39.3875,39.55,39.125,39.23125,39.4,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,1
68,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,39.55,39.125,39.23125,39.4,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,44.775,0
69,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,39.125,39.23125,39.4,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,44.775,42.725,0
70,47422200.0,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,39.23125,39.4,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,44.775,42.725,42.18125,0
71,37064760.0,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,39.4,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,44.775,42.725,42.18125,42.03125,0
72,37696400.0,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,39.55625,42.43125,43.03125,45.525,46.85625,48.01875,44.775,42.725,42.18125,42.03125,44.1125,1
73,51372400.0,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,42.43125,43.03125,45.525,46.85625,48.01875,44.775,42.725,42.18125,42.03125,44.1125,46.50625,1
74,32621640.0,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,43.03125,45.525,46.85625,48.01875,44.775,42.725,42.18125,42.03125,44.1125,46.50625,46.825,1
75,43339360.0,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,45.525,46.85625,48.01875,44.775,42.725,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,1
76,36870520.0,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,46.85625,48.01875,44.775,42.725,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,1
77,76763160.0,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,48.01875,44.775,42.725,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,0
78,61670120.0,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,44.775,42.725,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,1
79,57554160.0,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,42.725,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,1
80,62404320.0,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,42.18125,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,0
81,58718760.0,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,42.03125,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,1
82,76065120.0,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,44.1125,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,1
83,43997040.0,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,46.50625,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,0
84,42702040.0,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,46.825,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,43.34375,0
