,t-1,t
841,1.4012,1.4243
842,1.4243,1.2808
843,1.2808,1.3599
844,1.3599,1.3447
845,1.3447,1.3524
846,1.3524,1.3524
847,1.3524,1.373
848,1.373,1.3689
849,1.3689,1.3689
850,1.3689,1.273
851,1.273,1.2844
852,1.2844,1.2562
853,1.2562,1.3089
854,1.3089,1.273
855,1.273,1.273
856,1.273,1.3202
857,1.3202,1.3294
858,1.3294,1.3366
859,1.3366,1.3202
860,1.3202,1.2653
861,1.2653,1.273
862,1.273,1.2361
863,1.2361,1.2407
864,1.2407,1.273
865,1.273,1.3126
866,1.3126,1.2998
867,1.2998,1.3126
868,1.3126,1.3202
869,1.3202,1.3407
870,1.3407,1.3366
871,1.3366,1.3366
872,1.3366,1.3841
873,1.3841,1.3689
874,1.3689,1.3524
875,1.3524,1.3366
876,1.3366,1.3366
877,1.3366,1.3769
878,1.3769,1.3841
879,1.3841,1.4327
880,1.4327,1.4882
881,1.4882,1.5009
882,1.5009,1.5009
883,1.5009,1.4803
884,1.4803,1.4969
885,1.4969,1.4486
886,1.4486,1.4651
887,1.4651,1.4803
888,1.4803,1.4406
889,1.4406,1.4764
890,1.4764,1.4406
891,1.4406,1.4327
892,1.4327,1.405
893,1.405,1.4085
894,1.4085,1.3599
895,1.3599,1.3089
896,1.3089,1.2844
897,1.2844,1.3294
898,1.3294,1.3126
899,1.3126,1.2653
900,1.2653,1.2808
901,1.2808,1.2407
902,1.2407,1.2562
903,1.2562,1.3366
904,1.3366,1.305
905,1.305,1.3126
906,1.3126,1.3294
907,1.3294,1.3366
908,1.3366,1.3202
909,1.3202,1.2653
910,1.2653,1.2653
911,1.2653,1.2808
912,1.2808,1.2883
913,1.2883,1.273
914,1.273,1.2653
915,1.2653,1.2844
916,1.2844,1.3089
917,1.3089,1.3294
918,1.3294,1.3366
919,1.3366,1.3255
920,1.3255,1.3126
921,1.3126,1.3126
922,1.3126,1.3366
923,1.3366,1.3447
924,1.3447,1.3366
925,1.3366,1.3202
926,1.3202,1.305
927,1.305,1.3089
928,1.3089,1.2653
929,1.2653,1.273
930,1.273,1.2959
931,1.2959,1.3202
932,1.3202,1.2959
933,1.2959,1.273
934,1.273,1.2485
935,1.2485,1.2407
936,1.2407,1.2167
937,1.2167,1.2446
938,1.2446,1.2321
939,1.2321,1.2614
940,1.2614,1.273
941,1.273,1.3294
942,1.3294,1.3599
943,1.3599,1.3366
944,1.3366,1.3769
945,1.3769,1.4085
946,1.4085,1.4085
947,1.4085,1.4406
948,1.4406,1.3932
949,1.3932,1.4243
950,1.4243,1.4406
951,1.4406,1.4486
952,1.4486,1.4651
953,1.4651,1.4243
954,1.4243,1.4327
955,1.4327,1.4123
956,1.4123,1.4366
957,1.4366,1.4598
958,1.4598,1.4406
959,1.4406,1.4406
960,1.4406,1.4243
961,1.4243,1.4803
962,1.4803,1.4856
963,1.4856,1.4803
964,1.4803,1.4882
965,1.4882,1.5124
966,1.5124,1.4882
967,1.4882,1.4691
968,1.4691,1.4486
969,1.4486,1.4448
970,1.4448,1.4327
971,1.4327,1.4327
972,1.4327,1.4406
973,1.4406,1.4406
974,1.4406,1.4572
975,1.4572,1.4327
976,1.4327,1.4162
977,1.4162,1.3769
978,1.3769,1.3599
979,1.3599,1.3689
980,1.3689,1.3689
981,1.3689,1.3689
982,1.3689,1.3638
983,1.3638,1.4216
984,1.4216,1.4406
985,1.4406,1.4282
986,1.4282,1.4327
987,1.4327,1.4282
988,1.4282,1.4162
989,1.4162,1.4085
990,1.4085,1.3932
991,1.3932,1.3407
992,1.3407,1.3841
993,1.3841,1.3599
994,1.3599,1.3202
995,1.3202,1.3599
996,1.3599,1.3447
997,1.3447,1.3599
998,1.3599,1.305
999,1.305,1.273
1000,1.273,1.2653
1001,1.2653,1.305
1002,1.305,1.2844
1003,1.2844,1.2883
1004,1.2883,1.3089
1005,1.3089,1.3089
1006,1.3089,1.2768
1007,1.2768,1.2446
1008,1.2446,1.273
1009,1.273,1.2446
1010,1.2446,1.2241
1011,1.2241,1.2407
1012,1.2407,1.2959
1013,1.2959,1.3126
1014,1.3126,1.3126
1015,1.3126,1.3447
1016,1.3447,1.332
1017,1.332,1.3524
1018,1.3524,1.3366
1019,1.3366,1.3294
1020,1.3294,1.3689
1021,1.3689,1.4085
1022,1.4085,1.4012
1023,1.4012,1.3689
1024,1.3689,1.3894
1025,1.3894,1.3932
1026,1.3932,1.4085
1027,1.4085,1.3841
1028,1.3841,1.3599
1029,1.3599,1.3294
1030,1.3294,1.3089
1031,1.3089,1.273
1032,1.273,1.273
1033,1.273,1.2321
1034,1.2321,1.2485
1035,1.2485,1.2407
1036,1.2407,1.2485
1037,1.2485,1.2407
1038,1.2407,1.2321
1039,1.2321,1.2614
1040,1.2614,1.2808
1041,1.2808,1.3294
1042,1.3294,1.3126
1043,1.3126,1.2808
1044,1.2808,1.2768
1045,1.2768,1.2562
1046,1.2562,1.2485
1047,1.2485,1.2321
1048,1.2321,1.2361
1049,1.2361,1.2167
1050,1.2167,1.1921
1051,1.1921,1.1884
1052,1.1884,1.2089
1053,1.2089,1.2013
1054,1.2013,1.2321
1055,1.2321,1.2562
1056,1.2562,1.2653
1057,1.2653,1.2321
1058,1.2321,1.2446
1059,1.2446,1.2485
1060,1.2485,1.2167
1061,1.2167,1.2241
1062,1.2241,1.2167
1063,1.2167,1.1718
1064,1.1718,1.1563
1065,1.1563,1.1808
1066,1.1808,1.1679
1067,1.1679,1.1679
1068,1.1679,1.1768
1069,1.1768,1.2037
1070,1.2037,1.2407
1071,1.2407,1.2562
1072,1.2562,1.2653
1073,1.2653,1.2653
1074,1.2653,1.2614
1075,1.2614,1.2526
1076,1.2526,1.2526
1077,1.2526,1.2321
1078,1.2321,1.2407
1079,1.2407,1.273
1080,1.273,1.2653
1081,1.2653,1.2844
1082,1.2844,1.305
1083,1.305,1.3126
1084,1.3126,1.3366
1085,1.3366,1.3126
1086,1.3126,1.3164
1087,1.3164,1.2959
1088,1.2959,1.2883
1089,1.2883,1.2959
1090,1.2959,1.2883
1091,1.2883,1.2933
1092,1.2933,1.3447
1093,1.3447,1.3524
1094,1.3524,1.3638
1095,1.3638,1.3769
1096,1.3769,1.3638
1097,1.3638,1.3486
1098,1.3486,1.3689
1099,1.3689,1.3841
1100,1.3841,1.4012
1101,1.4012,1.2933
1102,1.2933,1.273
1103,1.273,1.2959
1104,1.2959,1.3126
1105,1.3126,1.3126
1106,1.3126,1.332
1107,1.332,1.3294
1108,1.3294,1.3366
1109,1.3366,1.2037
1110,1.2037,1.1974
1111,1.1974,1.2089
1112,1.2089,1.2562
1113,1.2562,1.273
1114,1.273,1.2562
1115,1.2562,1.2321
1116,1.2321,1.2485
1117,1.2485,1.2241
1118,1.2241,1.2241
1119,1.2241,1.1921
1120,1.1921,1.1845
1121,1.1845,1.1449
1122,1.1449,1.1601
1123,1.1601,1.1655
1124,1.1655,1.1768
1125,1.1768,1.2013
1126,1.2013,1.1768
1127,1.1768,1.1768
1128,1.1768,1.1526
1129,1.1526,1.1679
1130,1.1679,1.1601
1131,1.1601,1.1526
1132,1.1526,1.1206
1133,1.1206,1.1128
1134,1.1128,1.1371
1135,1.1371,1.1449
1136,1.1449,1.1283
1137,1.1283,1.1038
1138,1.1038,1.1206
1139,1.1206,1.1206
1140,1.1206,1.1283
1141,1.1283,1.1206
1142,1.1206,1.1283
1143,1.1283,1.1167
1144,1.1167,1.1167
1145,1.1167,1.1167
1146,1.1167,1.0847
1147,1.0847,1.1014
1148,1.1014,1.0807
1149,1.0807,1.0886
1150,1.0886,1.0961
1151,1.0961,1.1128
1152,1.1128,1.1399
1153,1.1399,1.1206
1154,1.1206,1.1038
1155,1.1038,1.1206
1156,1.1206,1.1526
1157,1.1526,1.1974
1158,1.1974,1.1845
1159,1.1845,1.2089
1160,1.2089,1.2321
