t-1,t-2,t-3,t-4,t-5,t,movement
3611723254.828,5328316390.528,4434949559.776,6284403658.258,91.792,90.804,0
3229409482.068,3611723254.828,5328316390.528,4434949559.776,90.739,90.296,0
3967942953.784,3229409482.068,3611723254.828,5328316390.528,90.641,90.366,1
2874014451.462,3967942953.784,3229409482.068,3611723254.828,92.132,90.979,1
3047123528.337,2874014451.462,3967942953.784,3229409482.068,91.174,90.093,0
2251102528.083,3047123528.337,2874014451.462,3967942953.784,90.804,87.979,0
6741382253.058,2251102528.083,3047123528.337,2874014451.462,90.296,88.154,1
3840613957.092,6741382253.058,2251102528.083,3047123528.337,90.366,91.427,1
5606448734.649,3840613957.092,6741382253.058,2251102528.083,90.979,91.047,0
4105124222.496,5606448734.649,3840613957.092,6741382253.058,90.093,92.09,1
3888485055.15,4105124222.496,5606448734.649,3840613957.092,87.979,91.737,0
2787496079.958,3888485055.15,4105124222.496,5606448734.649,88.154,92.732,1
2867487650.92,2787496079.958,3888485055.15,4105124222.496,91.427,93.909,1
3493010615.664,2867487650.92,2787496079.958,3888485055.15,91.047,95.342,1
2902089491.002,3493010615.664,2867487650.92,2787496079.958,92.09,96.998,1
3433897879.5220003,2902089491.002,3493010615.664,2867487650.92,91.737,97.787,1
5476764820.895,3433897879.5220003,2902089491.002,3493010615.664,92.732,97.729,0
3462962516.131,5476764820.895,3433897879.5220003,2902089491.002,93.909,97.251,0
3894538636.758,3462962516.131,5476764820.895,3433897879.5220003,95.342,95.886,0
2761086271.86,3894538636.758,3462962516.131,5476764820.895,96.998,95.167,0
3775448474.608,2761086271.86,3894538636.758,3462962516.131,97.787,95.361,1
2482470165.462,3775448474.608,2761086271.86,3894538636.758,97.729,96.054,1
2247576094.806,2482470165.462,3775448474.608,2761086271.86,97.251,96.442,1
2050536012.794,2247576094.806,2482470165.462,3775448474.608,95.886,96.354,0
1891881016.614,2050536012.794,2247576094.806,2482470165.462,95.167,97.046,1
2557889653.862,1891881016.614,2050536012.794,2247576094.806,95.361,96.258,0
2569378600.992,2557889653.862,1891881016.614,2050536012.794,96.054,94.796,0
