,t-1,t-2,t-3,t-4,t-5,t,movement
555,139.29,139.79,138.23,139.83,138.36,139.01,0
401,105.68,105.75,106.54,106.11,105.23,105.93,1
476,109.81,110.02,109.47,110.03,109.96,109.7,0
105,123.0,121.61,121.97,122.77,123.47,122.71,0
565,142.0,142.36,143.1,142.04,142.0,141.68,0
389,94.144,94.796,96.082,96.831,97.347,100.26,1
1,106.04,105.93,102.01,100.59,100.58,103.42,0
668,163.46,163.41,162.76,162.33,160.89,161.5,0
561,142.0,142.27,142.46,142.14,139.25,142.04,1
80,119.57,122.3,122.54,118.94,122.24,118.8,0
205,114.56,115.54,114.34,109.81,110.51,116.16,1
34,122.08,123.93,122.38,125.61,126.4,122.67,1
508,117.16,117.37,117.86,117.23,117.11,118.1,1
427,111.21,112.53,113.15,109.44,105.7,111.2,0
454,113.17,115.78,115.2,114.17,114.62,112.1,0
366,93.063,93.404,92.616,92.839,95.0,93.589,1
91,124.1,124.11,124.23,122.89,123.07,125.41,1
339,88.154,87.979,90.093,90.979,90.366,91.427,1
564,142.36,143.1,142.04,142.0,142.27,142.0,0
345,93.909,92.732,91.737,92.09,91.047,95.342,1
241,103.23,103.33,102.09,104.91,107.19,104.56,1
13,109.16,103.31,107.06,106.96,106.39,112.57,1
315,105.53,105.18,105.06,107.41,106.3,106.91,1
600,152.46,152.72,152.19,152.65,152.84,152.52,1
387,96.082,96.831,97.347,97.261,97.222,94.796,0
273,91.948,91.968,91.009,93.506,92.761,91.252,0
166,104.74,105.81,107.7,103.26,108.09,107.67,1
710,166.29,168.43,166.12,162.47,156.85,167.51,1
646,155.97,148.92,147.62,148.39,149.43,154.4,0
484,110.35,109.28,108.21,107.38,108.16,112.15,1
699,159.9,159.31,156.43,155.44,155.99,159.19,0
504,117.11,116.04,114.77,114.19,114.31,117.23,1
243,104.01,104.56,103.23,103.33,102.09,102.83,0
566,141.68,142.0,142.36,143.1,142.04,141.51,0
562,142.04,142.0,142.27,142.46,142.14,143.1,1
189,104.96,106.2,106.71,106.2,105.82,107.49,1
475,110.02,109.47,110.03,109.96,108.31,109.81,0
681,152.84,155.51,158.16,158.1,159.31,151.35,0
510,118.09,118.1,117.16,117.37,117.86,117.89,0
58,119.1,118.08,118.24,120.1,117.14,121.02,1
474,109.47,110.03,109.96,108.31,108.21,110.02,1
560,142.27,142.46,142.14,139.25,139.01,142.0,0
252,93.349,92.857,96.949,98.885,101.44,94.86,1
21,113.77,113.02,113.99,113.17,112.32,115.96,1
313,105.06,107.41,106.3,107.56,106.46,105.18,1
459,109.27,109.17,111.17,111.35,112.1,108.09,0
160,108.25,105.15,99.452,98.855,101.4,108.6,1
276,90.98,90.7,91.252,91.948,91.968,93.545,1
191,106.99,107.49,104.96,106.2,106.71,107.16,1
385,97.347,97.261,97.222,96.199,96.199,96.831,0
413,104.59,104.7,105.32,105.78,106.58,103.78,0
491,114.8,114.14,113.99,113.36,113.36,115.11,1
343,91.737,92.09,91.047,91.427,88.154,92.732,1
308,105.5,106.05,104.24,101.82,102.28,106.46,1
661,159.41,159.21,156.65,156.94,157.29,158.7,0
130,122.63,121.02,119.87,119.92,117.65,123.72,1
663,159.29,158.7,159.41,159.21,156.65,160.89,1
99,124.0,124.57,124.31,125.75,126.01,124.16,1
372,93.102,91.934,91.145,89.635,90.96,93.384,1
87,123.07,120.26,120.12,120.54,121.79,122.89,0
458,109.17,111.17,111.35,112.1,113.17,109.27,1
330,90.641,90.739,91.792,94.678,101.01,92.132,1
214,111.41,111.79,112.43,116.07,116.56,108.15,0
466,106.72,106.08,109.13,109.31,108.66,104.04,0
121,120.66,120.81,119.7,118.84,120.96,120.25,0
614,141.2,143.22,144.07,145.5,144.33,145.25,1
20,113.02,113.99,113.17,112.32,112.3,113.77,1
