,t-1,t,movement
214,4000401443.04,116.07,0
466,3487685120.46,109.31,1
121,5585406865.92,118.84,0
614,10499565128.55,145.5,1
20,7432192557.0,112.32,1
700,2555433755.44,156.43,1
71,3579405830.7,118.55,0
106,4583218579.19,121.97,0
270,5997935528.195001,92.839,0
435,5827310938.2,110.52,1
102,4191727931.46,124.0,0
