t-1,t-2,t-3,t-4,t-5,t,movement
3304351358.49,3087393201.61,2505430645.12,2873603543.6,153.57,154.74,0
2699941121.82,3304351358.49,3087393201.61,2505430645.12,153.26,155.28,1
2531404063.2,2699941121.82,3304351358.49,3087393201.61,153.92,155.34,1
2432603584.44,2531404063.2,2699941121.82,3304351358.49,152.93,155.99,1
2642823293.3900003,2432603584.44,2531404063.2,2699941121.82,154.83,155.44,0
2555433755.44,2642823293.3900003,2432603584.44,2531404063.2,154.74,156.43,1
2570561942.38,2555433755.44,2642823293.3900003,2432603584.44,155.28,159.31,1
3852564098.34,2570561942.38,2555433755.44,2642823293.3900003,155.34,159.9,1
3044585064.3,3852564098.34,2570561942.38,2555433755.44,155.99,159.19,0
2597160971.5,3044585064.3,3852564098.34,2570561942.38,155.44,155.42,0
6611444173.62,2597160971.5,3044585064.3,3852564098.34,156.43,155.69,1
3736188679.35,6611444173.62,2597160971.5,3044585064.3,159.31,155.61,0
3429499215.8700004,3736188679.35,6611444173.62,2597160971.5,159.9,156.54,1
2771030379.6,3429499215.8700004,3736188679.35,6611444173.62,159.19,155.85,0
3312378079.65,2771030379.6,3429499215.8700004,3736188679.35,155.42,156.85,1
2665445062.05,3312378079.65,2771030379.6,3429499215.8700004,155.69,162.47,1
7239829731.75,2665445062.05,3312378079.65,2771030379.6,155.61,166.12,1
7452386565.8,7239829731.75,2665445062.05,3312378079.65,156.54,168.43,1
6093192904.7300005,7452386565.8,7239829731.75,2665445062.05,155.85,166.29,0
5613731728.65,6093192904.7300005,7452386565.8,7239829731.75,156.85,167.51,1
6958730069.27,5613731728.65,6093192904.7300005,7452386565.8,162.47,171.88,1
10246138232.68,6958730069.27,5613731728.65,6093192904.7300005,166.12,173.63,1
6059902474.83,10246138232.68,6958730069.27,5613731728.65,168.43,174.18,1
4254325075.86,6059902474.83,10246138232.68,6958730069.27,166.29,175.61,1
4293869261.26,4254325075.86,6059902474.83,10246138232.68,167.51,175.25,0
5175673321.5,4293869261.26,4254325075.86,6059902474.83,171.88,174.67,0
