Date,t-1,t,movement
2017-02-09,3182707627.4399996,130.6,0
2017-02-10,2552856745.2,131.75,1
2017-02-13,2947513766.75,133.45,1
2017-02-14,4193392677.4999995,133.94,1
2017-02-15,4557380157.9,133.78,0
2017-02-16,2915021517.48,134.15,1
2017-02-17,2867269781.5,135.12,1
2017-02-21,2998200109.92,135.53,1
2017-02-22,2412774993.48,134.92,0
2017-02-23,2539931602.8799996,135.08,1
2017-02-24,2901068853.76,135.35,1
2017-02-27,2620540720.95,135.41,1
2017-02-28,2897358155.89,138.18,1
2017-03-01,4892921742.24,137.36,0
2017-03-02,3553109938.32,138.17,1
2017-03-03,2792955530.1899996,137.73,0
2017-03-06,2639719269.27,137.91,1
2017-03-07,2328274125.42,137.4,0
2017-03-08,2497960167.0,137.08,0
2017-03-09,2858913201.0800004,137.54,1
2017-03-10,2572607302.2,137.6,1
2017-03-13,2425263020.7999997,137.39,0
2017-03-14,2127909921.61,138.83,1
2017-03-15,3608501429.7300005,139.06,1
2017-03-16,2705677904.6,138.36,0
2017-03-17,5310839987.400001,139.83,1
2017-03-20,3047450265.78,138.23,0
2017-03-21,5528122082.46,139.79,1
2017-03-22,3657268595.89,139.29,0
2017-03-23,2867179486.0499997,139.01,0
2017-03-24,3012547708.46,139.25,1
2017-03-27,3130261463.0,142.14,1
2017-03-28,4710424508.339999,142.46,1
2017-03-29,4043136603.3,142.27,0
2017-03-30,2691777280.8100004,142.0,0
2017-03-31,2699787496.0,142.04,1
2017-04-03,2871969399.64,143.1,1
2017-04-04,2812934873.7,142.36,0
2017-04-05,3891027793.9600005,142.0,0
2017-04-06,2915925270.0,141.68,0
2017-04-07,2389741212.32,141.51,0
2017-04-10,2388847574.22,140.0,0
2017-04-11,4302851420.0,140.17,1
2017-04-12,2819149080.6899996,139.42,0
2017-04-13,2417902503.6,140.2,1
2017-04-17,2216252859.0,139.57,0
2017-04-18,1985870907.58,139.05,0
2017-04-19,2323853240.8500004,140.79,1
2017-04-20,3188994728.0099998,140.63,0
2017-04-21,2366050248.24,141.98,1
2017-04-24,2458902210.96,142.87,1
2017-04-25,2698864304.5,142.02,0
2017-04-26,2876049292.32,142.13,1
2017-04-27,2042947767.61,141.99,0
2017-04-28,2996601402.8700004,144.89,1
2017-05-01,4914548106.629999,145.81,1
2017-05-02,6554497195.96,145.37,0
2017-05-03,6707803694.27,144.84,0
2017-05-04,3421022308.8,147.24,1
2017-05-05,4070790366.1200004,151.24,1
2017-05-08,7449096466.440001,152.21,1
2017-05-09,6010534691.35,151.49,0
2017-05-10,3951173844.73,152.8,1
2017-05-11,4193550618.4,154.93,1
2017-05-12,5062375707.85,154.53,0
2017-05-15,4034830994.73,154.31,0
2017-05-16,3108871533.82,149.12,0
2017-05-17,7614330844.16,151.4,1
2017-05-18,5120527106.2,151.91,1
2017-05-19,4115417963.69,152.84,1
2017-05-22,3531709033.2000003,152.65,0
2017-05-23,3062004670.85,152.19,0
2017-05-24,2945133092.34,152.72,1
2017-05-25,2957256946.08,152.46,0
2017-05-26,3362806256.04,152.52,1
2017-05-30,3091675572.48,151.61,0
2017-05-31,3735685257.78,152.03,1
2017-06-01,2509692844.37,154.29,1
2017-06-02,4306697850.03,152.78,0
2017-06-05,3892098611.52,153.3,1
2017-06-06,4107581673.3,154.21,1
2017-06-07,3265978738.54,153.83,0
2017-06-08,3277502441.4900002,147.87,0
2017-06-09,9652490175.42,144.33,0
2017-06-12,10499565128.550001,145.5,1
2017-06-13,4998432358.5,144.07,0
2017-06-14,4566017137.219999,143.22,0
2017-06-15,4568865086.94,141.2,0
2017-06-16,7151296248.799999,145.25,1
2017-06-19,4751270716.5,143.92,0
2017-06-20,3608608055.3599997,144.78,1
2017-06-21,3102057438.2400002,144.54,0
2017-06-22,2779496828.46,145.19,1
2017-06-23,5181922279.32,144.73,0
2017-06-26,3744555870.9999995,142.66,0
2017-06-27,3554769496.18,144.74,1
2017-06-28,3216451794.02,142.61,0
2017-06-29,4519533514.21,142.95,1
2017-06-30,3313220623.0499997,142.43,0
2017-07-03,2048918788.92,143.02,1
2017-07-05,3105480216.1600003,141.66,0
2017-07-06,3441263367.24,143.11,1
2017-07-07,2699077640.71,143.97,1
2017-07-10,3057865355.97,144.44,1
2017-07-11,2870227182.6,144.65,1
